stocksymbol,time,quantity,price
s24723,1,784,107
s24937,2,4973,123
s46071,3,9110,451
s48212,4,7280,158
s66429,5,9913,119
s42868,6,491,89
s47896,7,2065,443
s33705,8,3464,399
s6201,9,6134,336
s47883,10,1802,264
s36236,11,4586,310
s53692,12,8310,427
s28632,13,3752,370
s12180,14,3213,374
s7771,15,6038,372
s35719,16,5273,313
s31716,17,7140,96
s22550,18,5278,141
s15495,19,7542,82
s29019,20,2869,272
s34752,21,7656,188
s42143,22,7973,436
s62932,23,9425,479
s13333,24,8152,60
s39797,25,9228,88
s13345,26,928,246
s19245,27,7158,50
s56612,28,3881,416
s65792,29,5497,319
s66012,30,7541,352
s2188,31,1586,403
s28112,32,4357,167
s43599,33,772,105
s43896,34,5545,363
s11751,35,7409,269
s56583,36,2423,285
s69811,37,3473,355
s13264,38,2118,469
s1743,39,3275,496
s47648,40,1543,330
s47349,41,2893,76
s5332,42,1399,367
s46272,43,9088,144
s55331,44,9966,323
s34474,45,7557,398
s49863,46,4877,427
s21726,47,7537,338
s4847,48,8188,403
s38928,49,2366,51
s50820,50,6365,102
s46205,51,9372,463
s4487,52,7134,282
s63197,53,8648,181
s48958,54,1666,201
s69131,55,8384,257
s69869,56,325,405
s8880,57,6633,326
s51686,58,4922,395
s31574,59,5041,154
s1569,60,1648,437
s50360,61,5443,151
s31306,62,1296,306
s12371,63,7655,287
s23417,64,4799,116
s29408,65,7070,324
s14861,66,1986,232
s64347,67,715,336
s57278,68,689,319
s40149,69,2135,193
s8801,70,3160,425
s63204,71,4978,263
s38542,72,4511,399
s31215,73,2578,215
s42115,74,6616,189
s11760,75,8558,365
s31455,76,9292,287
s61896,77,5017,51
s9491,78,185,60
s6089,79,9902,357
s38855,80,4138,197
s3148,81,8376,311
s39907,82,1520,197
s5721,83,3629,177
s58431,84,1351,269
s46116,85,7604,338
s5858,86,4159,383
s42059,87,8945,365
s21641,88,7235,444
s35079,89,2695,429
s23367,90,6348,363
s48895,91,4709,473
s35169,92,2411,165
s34677,93,6017,294
s42766,94,8470,321
s31022,95,820,213
s61190,96,1982,286
s16010,97,566,58
s28157,98,7226,269
s3004,99,758,86
s43621,100,9837,144
s43607,101,9754,116
s50156,102,6574,466
s54319,103,5549,171
s14026,104,3986,333
s26222,105,6588,110
s29296,106,1134,87
s37930,107,9065,146
s51958,108,2434,252
s47576,109,2682,358
s29216,110,9353,318
s24297,111,5041,443
s10928,112,3215,119
s60219,113,7192,108
s28259,114,3953,96
s26797,115,7481,392
s52393,116,5427,342
s16307,117,9624,102
s39411,118,4710,429
s13474,119,9847,68
s54668,120,7944,106
s14300,121,650,56
s39353,122,9480,392
s47655,123,201,350
s47145,124,8951,264
s7967,125,5563,181
s25706,126,7656,97
s1061,127,4581,313
s21273,128,5314,62
s5036,129,1864,293
s53967,130,5746,108
s61875,131,4807,84
s60818,132,9581,169
s28149,133,3802,397
s23522,134,3549,423
s55292,135,4765,283
s24498,136,5111,72
s53114,137,647,169
s36946,138,4914,494
s25383,139,7838,171
s40484,140,5005,193
s58700,141,7043,280
s34352,142,4502,262
s22398,143,6634,203
s57591,144,7465,455
s47548,145,220,426
s5875,146,4791,82
s39943,147,3380,493
s37858,148,3964,82
s56168,149,533,173
s59804,150,207,281
s24455,151,594,166
s63155,152,6647,368
s51259,153,2458,301
s19441,154,8385,238
s42458,155,6480,290
s26880,156,3714,471
s8163,157,8760,96
s16729,158,8510,289
s33804,159,2652,249
s9515,160,9802,158
s57959,161,5410,497
