stocksymbol,time,quantity,price
s3981,1,6931,101
s25323,2,5719,481
s56397,3,6226,310
s2442,4,4712,91
s44026,5,3668,345
s13628,6,6060,398
s59258,7,6103,312
s7975,8,9244,328
s67380,9,9374,375
s13446,10,6296,163
s65714,11,7027,208
s25790,12,3498,83
s5866,13,5088,230
s31117,14,3640,273
s46532,15,1927,452
s39886,16,9396,106
s57286,17,9034,258
s34397,18,5353,391
s3236,19,7589,368
s48275,20,712,475
s45298,21,9722,497
s41430,22,6113,282
s63150,23,6482,184
s14951,24,8200,443
s33276,25,6920,215
s40203,26,5152,77
s22289,27,2365,430
s59951,28,9911,120
s32762,29,9073,180
s21534,30,8177,168
s27907,31,8830,428
s56886,32,5769,127
s31005,33,2981,409
s37061,34,2439,105
s46770,35,8463,191
s58867,36,6485,426
s35991,37,5261,374
s64213,38,5017,428
s29046,39,4789,333
s55296,40,5083,170
s14176,41,6356,343
s3814,42,8244,445
s25694,43,6801,319
s5776,44,5321,266
s30047,45,5080,294
s6025,46,3423,377
s39596,47,3120,477
s65170,48,771,419
s24112,49,4713,88
s12001,50,7083,260
s4426,51,7559,176
s18694,52,6353,385
s28642,53,9443,407
s22418,54,1649,371
s68241,55,7838,150
s8640,56,4893,191
s46574,57,3342,433
s7092,58,1756,236
s13068,59,8376,242
s11321,60,9179,151
s15567,61,1252,238
s40392,62,8316,433
s19808,63,8080,310
s47675,64,1378,427
s23871,65,4921,204
s69324,66,6546,269
s51974,67,4943,315
s31426,68,9674,288
s51808,69,2759,266
s16887,70,1663,150
s40730,71,452,54
s65797,72,436,231
s31668,73,7588,420
s17639,74,4674,402
s57813,75,9300,447
s743,76,1466,169
s15977,77,4234,314
s18482,78,7692,238
s47280,79,9382,208
s8809,80,6508,166
s10634,81,8515,484
s4435,82,3791,493
s19567,83,3369,479
s21281,84,9874,363
s1650,85,9422,353
s6448,86,290,383
s7506,87,6119,251
s31135,88,689,377
s44220,89,7004,195
s39508,90,7607,256
s16773,91,3826,334
s15316,92,5780,186
s45864,93,289,121
s18065,94,9774,101
s34415,95,1945,345
s62414,96,5896,114
s25244,97,253,389
s51900,98,4771,168
s49873,99,5442,401
s1159,100,9888,153
s23060,101,1951,437
s41910,102,5881,360
s21089,103,3370,243
s59836,104,2151,190
s23725,105,7495,492
s50120,106,8341,476
s45688,107,9450,212
s38761,108,4337,199
s1143,109,7166,322
s62891,110,4195,300
s31883,111,8585,224
s26045,112,6094,307
s33854,113,1010,299
s17441,114,9929,264
s34433,115,691,497
s249,116,542,258
s69044,117,1324,114
s5183,118,4719,367
s8715,119,7104,317
s26102,120,3866,262
s27356,121,4448,473
s61324,122,8888,452
s38958,123,8278,391
s62270,124,6843,476
s11880,125,4506,376
s10196,126,3006,183
s46744,127,8227,268
s34298,128,4892,184
s48935,129,7093,325
s68413,130,7140,82
s33616,131,6417,158
s4733,132,732,288
s7984,133,374,147
s16340,134,2595,363
s62172,135,5006,377
s38623,136,5347,393
s29475,137,1727,121
s12223,138,7828,395
s12375,139,806,100
