stocksymbol,time,quantity,price
s50370,1,1197,356
s49084,2,4712,369
s28462,3,7549,175
s29031,4,5300,198
s3855,5,7929,285
s31693,6,2359,85
s7100,7,6048,451
s19623,8,5585,200
s20864,9,7982,479
s5539,10,755,365
s52498,11,2559,103
s11849,12,6452,441
s44725,13,9098,299
s39815,14,711,238
s62565,15,636,111
s36863,16,6751,139
s12592,17,9457,433
s25038,18,1789,464
s59757,19,6862,237
s39081,20,875,409
s22924,21,456,100
s45922,22,7835,50
s24997,23,8561,231
s52806,24,210,429
s52409,25,9283,400
s1606,26,445,239
s48659,27,4582,80
s28139,28,8767,121
s34092,29,8014,301
s48430,30,9226,282
s40817,31,5675,142
s29298,32,270,183
s24126,33,1140,180
s40343,34,3179,267
s50178,35,1167,128
s55614,36,617,315
s10520,37,7658,164
s11386,38,567,139
s52066,39,7743,235
s8569,40,2397,462
s24087,41,354,98
s57111,42,5107,487
s11070,43,3944,89
s19648,44,9372,156
s64060,45,8226,278
s40606,46,3735,184
s56585,47,9054,246
s14255,48,6706,258
s63969,49,9731,330
s40315,50,6229,268
s55496,51,429,421
s51710,52,8921,290
s3147,53,8317,230
s40354,54,9234,424
s7094,55,10000,174
s27670,56,6928,415
s13750,57,2533,117
s57929,58,1339,219
s56149,59,9210,104
s25264,60,5682,192
s6849,61,1604,277
s36993,62,5292,56
s35769,63,7633,242
s44141,64,9526,111
s19507,65,694,313
s18605,66,2310,79
s19599,67,9325,175
s9619,68,5944,294
s31295,69,4902,492
s32500,70,986,376
s18858,71,536,349
s17177,72,2518,229
s53022,73,9053,343
s21689,74,7332,472
s41481,75,6010,69
s58550,76,279,351
s58393,77,8511,316
s26305,78,3623,163
s53353,79,1480,411
s40874,80,1640,208
s56363,81,7420,499
s32891,82,4007,384
s53717,83,3234,459
s19848,84,4921,412
s34758,85,1103,149
s6373,86,1699,387
s8710,87,5411,304
s40407,88,2372,401
s10041,89,310,272
s36013,90,1394,63
s1889,91,9405,82
s6915,92,2410,179
s45441,93,7936,223
s27682,94,6274,214
s16339,95,6276,284
s425,96,3468,414
s12241,97,4282,110
s37635,98,8679,452
s23621,99,8833,455
s42611,100,6860,432
s48665,101,753,358
s51141,102,7757,193
s27133,103,6858,290
s28078,104,4720,386
s42050,105,8462,379
s52551,106,2777,128
s32094,107,4748,171
s35027,108,9983,319
s63537,109,3588,452
s47919,110,7607,68
s16449,111,7592,436
s45134,112,7391,87
s54898,113,2151,104
s63237,114,5670,165
s52305,115,6862,372
s48391,116,4931,218
s55456,117,1777,113
s10119,118,6428,400
s4718,119,9133,326
s9499,120,9953,162
s15890,121,8847,493
s34954,122,8592,369
s36522,123,6883,471
s36615,124,7002,372
s42441,125,6581,221
s10439,126,9712,249
s62860,127,8839,90
s69853,128,9731,234
s26984,129,9105,144
s50119,130,482,473
s47434,131,9870,270
s21814,132,232,50
s47123,133,332,360
s12795,134,3712,462
s60817,135,9555,148
s50204,136,2203,349
s16828,137,5518,448
s45571,138,1325,77
s59400,139,4763,413
s5278,140,7106,236
s8956,141,9680,359
s19494,142,7982,318
s25702,143,6011,120
s53594,144,2110,448
s22092,145,4553,191
s32296,146,5157,124
s62591,147,1838,325
s50214,148,310,159
s52042,149,1596,494
s36415,150,9039,216
s30771,151,9968,464
s47764,152,2700,314
s67432,153,7206,335
s61709,154,8789,423
s37428,155,1474,70
s43223,156,8099,341
s34324,157,5944,310
s38321,158,4877,130
s30280,159,3643,413
s9277,160,4609,268
s52665,161,7008,113
s30580,162,5412,151
s46994,163,4574,367
s1324,164,3199,272
s68330,165,3653,109
s4861,166,9367,256
s54771,167,9382,455
s25574,168,136,101
s52622,169,1746,110
s27256,170,9140,337
s57908,171,5465,330
s61955,172,3454,396
s69313,173,9969,268
s36423,174,4870,433
s16015,175,4728,106
s67985,176,1228,293
s62248,177,6376,442
s56239,178,6688,212
s23129,179,5294,426
s57716,180,4300,284
s17083,181,2641,446
s47130,182,8361,200
s2098,183,8793,285
s44444,184,8050,167
s38001,185,8874,154
s15179,186,5114,297
s51977,187,9680,492
s14486,188,1511,356
s61984,189,6843,358
s43386,190,5958,406
s49309,191,3125,292
s16485,192,5139,70
s68223,193,6822,183
s30492,194,9916,245
s25759,195,5983,406
s30197,196,2591,302
s12456,197,5851,382
s69942,198,1309,428
s48576,199,9413,237
s36919,200,7751,89
s57526,201,8153,451
s6052,202,6209,92
s69341,203,5229,456
s67110,204,3877,441
s7709,205,2744,199
s53317,206,9251,445
s15973,207,212,443
s18130,208,4973,217
s60726,209,5802,308
s16400,210,155,132
s46835,211,9668,145
s21230,212,8259,450
s65362,213,3188,228
s59469,214,7168,64
s52899,215,4925,276
s36662,216,3237,370
s69292,217,617,313
s13508,218,9809,284
s5962,219,6085,143
s48250,220,1465,355
s36936,221,4147,230
s40212,222,1680,188
s19629,223,9514,305
s10512,224,7977,320
s3891,225,3631,490
s24245,226,5641,483
s61905,227,5458,285
s65291,228,2864,245
s13713,229,1038,163
s39304,230,5012,373
s57943,231,8530,465
s64570,232,8906,342
s63239,233,6256,476
s41686,234,227,448
s63313,235,6947,229
s5968,236,9642,368
s6179,237,5469,400
s43813,238,6289,338
s43833,239,7466,58
s15524,240,9742,235
s24918,241,2653,89
s12208,242,8364,482
s36331,243,3041,310
s15278,244,5749,252
s21226,245,1949,184
s47473,246,1082,500
s49812,247,1530,232
s21554,248,3261,464
s22190,249,217,339
s18956,250,315,272
s58906,251,4918,102
s21827,252,337,267
s19337,253,4189,371
s26684,254,6037,291
s63610,255,6376,242
s62350,256,4339,358
s51401,257,6663,187
s37720,258,3463,281
s20807,259,6134,408
s41945,260,9665,295
s45057,261,1063,321
s3210,262,1317,317
s62407,263,8218,464
s2097,264,7791,65
s58661,265,549,75
s35896,266,8583,428
s59990,267,2776,88
s24586,268,3605,378
s54686,269,3927,124
s61767,270,7068,123
s11361,271,5950,202
s30087,272,8669,112
s30780,273,5980,285
s62419,274,9163,455
s63058,275,3337,102
s35353,276,2273,70
s53162,277,6189,365
s9559,278,2730,127
s12349,279,9653,146
s50213,280,2300,451
s20632,281,4602,243
s61938,282,7860,324
s64933,283,7057,130
